"","X1","txn_id","customer_id","trans_date","tran_amount"
"254",254,254,"CS3755","01-Jan-15",45
"255",255,255,"CS3927","25-Mar-14",77
"256",256,256,"CS5799","08-Nov-12",101
"257",257,257,"CS5708","03-Jun-11",89
"258",258,258,"CS3695","20-Apr-13",51
"259",259,259,"CS1969","23-Oct-14",39
"260",260,260,"CS3854","09-Nov-14",104
"261",261,261,"CS3416","23-Feb-15",57
"262",262,262,"CS1414","01-Dec-13",104
"263",263,263,"CS4732","27-Mar-13",96
"264",264,264,"CS2493","29-Dec-12",85
"265",265,265,"CS5851","19-Jan-13",98
"266",266,266,"CS1678","09-May-14",48
"267",267,267,"CS2049","19-Mar-13",36
"268",268,268,"CS3676","27-Sep-11",43
"269",269,269,"CS4853","27-Mar-12",68
"270",270,270,"CS4292","04-Mar-14",98
"271",271,271,"CS3152","15-Dec-14",40
"272",272,272,"CS5640","13-Jan-14",77
"273",273,273,"CS5857","26-Sep-12",85
"274",274,274,"CS1472","12-Apr-14",72
"275",275,275,"CS3888","22-Feb-12",70
"276",276,276,"CS5563","23-Jun-13",70
"277",277,277,"CS5104","17-Sep-12",99
"278",278,278,"CS6109","01-Nov-13",92
"279",279,279,"CS2352","06-Oct-14",62
"280",280,280,"CS4024","01-Feb-14",39
"281",281,281,"CS1499","24-Dec-11",91
"282",282,282,"CS3071","15-Sep-12",39
"283",283,283,"CS5638","16-Dec-14",58
"284",284,284,"CS5533","16-May-13",73
"285",285,285,"CS1961","29-Mar-12",75
"286",286,286,"CS1707","15-Sep-11",105
"287",287,287,"CS3692","17-Sep-14",48
"288",288,288,"CS1275","28-Dec-11",102
"289",289,289,"CS4738","20-Mar-13",37
"290",290,290,"CS3732","12-Jun-11",83
"291",291,291,"CS5676","16-Dec-13",44
"292",292,292,"CS4111","26-Jul-12",54
"293",293,293,"CS2074","05-Jan-15",79
"294",294,294,"CS5815","03-Jan-15",92
"295",295,295,"CS5094","07-Mar-15",84
"296",296,296,"CS5431","05-Jan-13",55
"297",297,297,"CS4540","13-Aug-14",55
"298",298,298,"CS1891","25-Mar-13",84
"299",299,299,"CS4389","22-Mar-13",70
"300",300,300,"CS4412","07-Jan-12",47
"301",301,301,"CS1697","13-Jul-14",98
"302",302,302,"CS2720","11-Apr-12",72
"303",303,303,"CS1152","04-Aug-12",71
"304",304,304,"CS3796","14-Sep-13",37
"305",305,305,"CS6066","23-Aug-13",66
"306",306,306,"CS2643","20-Jul-14",69
"307",307,307,"CS6056","22-Mar-14",104
"308",308,308,"CS3489","09-Jan-13",76
"309",309,309,"CS5229","23-Nov-11",58
"310",310,310,"CS4649","16-Dec-14",93
"311",311,311,"CS4372","27-Aug-14",71
"312",312,312,"CS1790","04-Oct-12",100
"313",313,313,"CS1475","20-Aug-12",73
"314",314,314,"CS2452","05-Apr-14",77
"315",315,315,"CS2781","02-Jun-11",51
"316",316,316,"CS5260","25-Sep-14",89
"317",317,317,"CS5155","25-Dec-11",100
"318",318,318,"CS1582","24-May-14",46
"319",319,319,"CS4757","19-Aug-11",81
"320",320,320,"CS6039","05-Oct-13",104
"321",321,321,"CS1580","18-Nov-12",87
"322",322,322,"CS3815","05-Jul-11",54
"323",323,323,"CS6063","13-Apr-13",104
"324",324,324,"CS2226","29-Oct-14",104
"325",325,325,"CS5367","08-Jan-15",77
"326",326,326,"CS4581","04-Jun-13",95
"327",327,327,"CS5004","21-Dec-14",59
"328",328,328,"CS2164","06-Aug-13",35
"329",329,329,"CS4590","31-May-14",79
"330",330,330,"CS4600","03-Oct-11",50
"331",331,331,"CS2122","20-Feb-12",90
"332",332,332,"CS3060","24-Aug-12",59
"333",333,333,"CS2217","19-Apr-13",85
"334",334,334,"CS4288","21-Apr-14",68
"335",335,335,"CS1568","10-May-13",104
"336",336,336,"CS3442","16-Sep-14",39
"337",337,337,"CS4883","24-Dec-13",39
"338",338,338,"CS4911","17-Feb-12",75
"339",339,339,"CS1533","25-Jul-12",86
"340",340,340,"CS3103","07-May-14",59
"341",341,341,"CS2185","29-Jan-12",46
"342",342,342,"CS4094","24-Jul-13",100
"343",343,343,"CS4354","29-Dec-12",62
"344",344,344,"CS1939","25-Jul-12",46
"345",345,345,"CS5516","04-Dec-12",75
"346",346,346,"CS5664","02-Nov-13",95
"347",347,347,"CS5068","07-Nov-14",41
"348",348,348,"CS4376","13-Oct-14",49
"349",349,349,"CS5825","22-Oct-11",61
"350",350,350,"CS1871","16-Jan-12",64
"351",351,351,"CS5046","06-Feb-15",86
"352",352,352,"CS1259","30-Jun-13",64
"353",353,353,"CS5664","11-Sep-11",58
"354",354,354,"CS2986","20-Jul-11",67
"355",355,355,"CS5510","02-Sep-13",99
"356",356,356,"CS2845","10-Jan-13",73
"357",357,357,"CS4077","22-Jul-12",90
"358",358,358,"CS3466","04-Nov-13",71
"359",359,359,"CS1508","25-Oct-13",101
"360",360,360,"CS2469","19-Jul-14",93
"361",361,361,"CS2767","03-Jan-15",105
"362",362,362,"CS5790","17-Mar-12",58
"363",363,363,"CS1710","10-Jun-13",100
"364",364,364,"CS2554","05-Oct-11",100
"365",365,365,"CS5283","05-Feb-15",63
"366",366,366,"CS4050","30-Aug-14",63
"367",367,367,"CS5975","08-Sep-12",77
"368",368,368,"CS4227","16-Oct-12",74
"369",369,369,"CS5983","20-May-11",47
"370",370,370,"CS2490","04-Dec-13",70
"371",371,371,"CS1696","25-Dec-12",51
"372",372,372,"CS3209","25-Feb-14",82
"373",373,373,"CS2942","08-Jan-13",62
"374",374,374,"CS4981","16-Oct-11",93
"375",375,375,"CS1397","26-Mar-14",77
"376",376,376,"CS1903","15-Apr-13",92
"377",377,377,"CS3754","30-Nov-13",77
"378",378,378,"CS4763","12-Dec-11",78
"379",379,379,"CS4413","17-Jan-15",38
"380",380,380,"CS2333","13-Aug-11",99
"381",381,381,"CS2798","30-May-12",100
"382",382,382,"CS5033","13-Dec-11",96
"383",383,383,"CS1420","09-Sep-14",99
"384",384,384,"CS5132","14-Sep-11",74
"385",385,385,"CS3058","03-Sep-12",74
"386",386,386,"CS3692","22-Sep-13",42
"387",387,387,"CS2463","29-Sep-12",55
"388",388,388,"CS5209","11-Nov-11",35
"389",389,389,"CS4581","16-Nov-13",53
"390",390,390,"CS3424","02-Dec-13",85
"391",391,391,"CS3207","27-Jun-13",86
"392",392,392,"CS5763","23-Jan-13",56
"393",393,393,"CS5772","18-Jan-12",97
"394",394,394,"CS3673","29-Apr-13",85
"395",395,395,"CS2887","02-Mar-12",100
"396",396,396,"CS1596","28-Aug-11",66
"397",397,397,"CS4299","17-Jun-12",37
"398",398,398,"CS1492","06-Feb-14",82
"399",399,399,"CS2313","10-Apr-14",40
"400",400,400,"CS5385","25-Apr-14",83
"401",401,401,"CS3441","03-Nov-13",43
"402",402,402,"CS4701","26-Jul-14",53
"403",403,403,"CS1746","21-Jun-13",103
"404",404,404,"CS3276","27-Jul-13",65
"405",405,405,"CS2555","20-May-12",50
"406",406,406,"CS2569","29-Apr-14",37
"407",407,407,"CS3426","01-May-14",67
"408",408,408,"CS3052","17-Nov-13",67
"409",409,409,"CS1993","08-Aug-13",68
"410",410,410,"CS4908","27-Sep-14",78
"411",411,411,"CS3021","10-Feb-14",43
"412",412,412,"CS4424","16-May-13",82
"413",413,413,"CS4841","23-May-13",74
"414",414,414,"CS3486","19-Nov-12",75
"415",415,415,"CS2218","11-Oct-11",78
"416",416,416,"CS4779","29-Apr-12",53
"417",417,417,"CS4226","19-Apr-13",100
"418",418,418,"CS1653","30-Aug-11",53
"419",419,419,"CS2533","30-Mar-12",99
"420",420,420,"CS2905","29-Jul-12",47
"421",421,421,"CS5169","25-Jan-13",64
"422",422,422,"CS5142","25-Nov-12",64
"423",423,423,"CS4390","02-Jul-14",43
"424",424,424,"CS5668","27-Feb-14",91
"425",425,425,"CS2896","14-Jan-13",71
"426",426,426,"CS5156","02-Oct-13",58
"427",427,427,"CS4200","12-Aug-12",67
"428",428,428,"CS4391","07-Sep-14",67
"429",429,429,"CS5408","22-Jul-13",78
"430",430,430,"CS6019","25-Oct-13",84
"431",431,431,"CS3981","25-Jul-12",40
"432",432,432,"CS5925","20-Jun-13",66
"433",433,433,"CS3964","14-Nov-13",105
"434",434,434,"CS4688","20-May-13",101
"435",435,435,"CS1343","02-Jun-12",57
"436",436,436,"CS6024","14-Oct-12",45
"437",437,437,"CS2816","18-Dec-11",84
"438",438,438,"CS2434","20-May-12",41
"439",439,439,"CS6018","18-May-12",96
"440",440,440,"CS2072","07-Jul-12",63
"441",441,441,"CS2897","03-Dec-13",83
"442",442,442,"CS1680","14-Oct-13",81
"443",443,443,"CS1638","05-Aug-13",84
"444",444,444,"CS1165","12-Apr-12",101
"445",445,445,"CS4593","04-Jan-12",84
"446",446,446,"CS3414","13-Nov-11",46
"447",447,447,"CS2252","28-Feb-13",58
"448",448,448,"CS3598","30-Jul-13",54
"449",449,449,"CS3642","19-May-14",62
"450",450,450,"CS5948","10-Jul-14",71
"451",451,451,"CS5582","23-May-14",96
"452",452,452,"CS6107","23-Jul-11",70
"453",453,453,"CS5201","02-Jul-11",79
"454",454,454,"CS1639","05-May-13",51
"455",455,455,"CS5884","20-Nov-12",52
"456",456,456,"CS3515","07-Jul-14",81
"457",457,457,"CS2332","29-Aug-13",66
"458",458,458,"CS5628","16-Dec-14",94
"459",459,459,"CS4830","13-Apr-12",78
"460",460,460,"CS1673","04-Jan-12",92
"461",461,461,"CS4993","01-Jun-11",86
"462",462,462,"CS2603","01-Jul-13",58
"463",463,463,"CS1800","20-Nov-13",72
"464",464,464,"CS3911","09-Jun-12",83
"465",465,465,"CS5465","05-Dec-11",77
"466",466,466,"CS2373","29-Mar-12",105
"467",467,467,"CS1241","06-Mar-13",104
"468",468,468,"CS4244","15-Feb-13",48
"469",469,469,"CS5233","05-Jun-13",73
"470",470,470,"CS5405","04-Dec-13",87
"471",471,471,"CS4115","30-Nov-11",73
"472",472,472,"CS4283","23-Dec-11",76
"473",473,473,"CS4420","28-May-14",93
"474",474,474,"CS4779","08-May-13",41
"475",475,475,"CS2567","15-Jul-11",93
"476",476,476,"CS3629","30-Sep-14",68
"477",477,477,"CS2026","25-Aug-13",66
"478",478,478,"CS4338","05-Jul-13",58
"479",479,479,"CS4142","20-May-12",100
"480",480,480,"CS2837","10-Nov-12",88
"481",481,481,"CS1625","05-Nov-13",104
"482",482,482,"CS4873","20-Nov-12",83
"483",483,483,"CS3376","28-Aug-12",39
"484",484,484,"CS4311","27-Feb-12",35
"485",485,485,"CS1396","25-Sep-12",86
"486",486,486,"CS3779","29-Jan-14",92
"487",487,487,"CS1997","09-Oct-12",87
"488",488,488,"CS4540","17-May-12",72
"489",489,489,"CS5299","22-Dec-12",90
"490",490,490,"CS2253","21-Nov-12",99
"491",491,491,"CS6066","17-Mar-14",102
"492",492,492,"CS6077","22-Nov-12",44
"493",493,493,"CS3300","28-Dec-14",86
"494",494,494,"CS5922","31-Mar-12",95
"495",495,495,"CS6009","13-Mar-14",39
"496",496,496,"CS5064","19-Feb-13",97
"497",497,497,"CS2399","21-Apr-14",77
"498",498,498,"CS5547","27-Sep-12",73
"499",499,499,"CS5114","23-Sep-12",96
"500",500,500,"CS3908","10-Nov-11",83
"501",501,501,"CS4194","24-Apr-13",92
"502",502,502,"CS5342","15-Oct-12",82
"503",503,503,"CS5425","04-Aug-12",90
"504",504,504,"CS1991","29-Sep-14",94
"505",505,505,"CS2693","27-Aug-13",61
"506",506,506,"CS5076","31-Jan-15",63
"507",507,507,"CS3177","08-Jun-11",87
"508",508,508,"CS2809","02-Jun-12",60
"509",509,509,"CS3864","06-Dec-13",56
"510",510,510,"CS2515","11-Dec-11",51
"511",511,511,"CS4487","25-Aug-11",100
"512",512,512,"CS3108","20-Aug-11",87
"513",513,513,"CS1133","28-Jul-14",91
"514",514,514,"CS5919","04-Mar-12",97
"515",515,515,"CS6067","04-Sep-12",44
"516",516,516,"CS4893","24-Oct-13",66
"517",517,517,"CS5750","25-Mar-14",48
"518",518,518,"CS1445","13-Nov-11",88
"519",519,519,"CS1710","26-Oct-11",52
"520",520,520,"CS1927","23-Dec-13",97
"521",521,521,"CS5719","10-Jul-11",40
"522",522,522,"CS2591","29-Jan-14",69
"523",523,523,"CS2416","13-Feb-13",59
"524",524,524,"CS1347","10-Feb-13",74
"525",525,525,"CS3073","13-Feb-15",95
"526",526,526,"CS3590","23-Oct-13",104
"527",527,527,"CS4099","29-May-14",67
"528",528,528,"CS4109","21-Aug-12",40
"529",529,529,"CS6072","20-Dec-11",82
"530",530,530,"CS3266","17-Nov-12",51
"531",531,531,"CS1433","22-Dec-14",72
"532",532,532,"CS5499","23-Jun-11",59
"533",533,533,"CS1533","20-Jul-12",85
"534",534,534,"CS5405","21-Apr-12",91
"535",535,535,"CS4971","28-May-13",83
"536",536,536,"CS5461","06-Feb-12",47
"537",537,537,"CS6088","27-Jan-13",82
"538",538,538,"CS1984","04-Sep-12",53
"539",539,539,"CS1184","05-Jan-13",102
"540",540,540,"CS4346","09-Dec-12",65
"541",541,541,"CS5245","29-Oct-14",104
"542",542,542,"CS5402","03-Nov-11",84
"543",543,543,"CS2765","29-Aug-11",61
"544",544,544,"CS5785","20-Jun-13",63
"545",545,545,"CS5767","29-May-13",82
"546",546,546,"CS2753","17-Jun-12",63
"547",547,547,"CS2252","04-Sep-12",68
"548",548,548,"CS5488","28-Jun-12",53
"549",549,549,"CS5354","23-Sep-14",83
"550",550,550,"CS1470","11-Feb-12",95
"551",551,551,"CS1155","16-Oct-11",75
"552",552,552,"CS5565","04-Jun-14",36
"553",553,553,"CS6073","07-Feb-15",104
"554",554,554,"CS2817","11-Jun-14",43
"555",555,555,"CS3210","29-Oct-11",57
"556",556,556,"CS4688","16-Oct-12",59
"557",557,557,"CS4663","24-Feb-13",95
"558",558,558,"CS4539","28-Jul-12",35
"559",559,559,"CS2580","09-Jul-12",42
"560",560,560,"CS3983","15-Oct-12",103
"561",561,561,"CS2771","02-Jul-12",67
"562",562,562,"CS3635","03-Feb-15",38
"563",563,563,"CS1415","21-Jan-12",73
"564",564,564,"CS2294","04-Mar-15",94
"565",565,565,"CS1405","18-Sep-13",43
"566",566,566,"CS1582","16-Jan-14",85
"567",567,567,"CS2886","09-Nov-13",38
"568",568,568,"CS2770","07-Nov-14",80
"569",569,569,"CS1140","28-Dec-14",61
"570",570,570,"CS2333","25-Jan-14",93
"571",571,571,"CS4752","20-Apr-13",95
"572",572,572,"CS5687","26-Jul-11",89
"573",573,573,"CS4895","11-Jan-14",80
"574",574,574,"CS2786","28-Nov-11",66
"575",575,575,"CS1927","24-May-12",63
"576",576,576,"CS4327","26-Sep-14",36
"577",577,577,"CS1624","30-Mar-13",68
"578",578,578,"CS5490","19-Aug-14",36
"579",579,579,"CS4395","26-Feb-12",66
"580",580,580,"CS3174","25-Jan-13",61
"581",581,581,"CS2011","06-Jun-13",85
"582",582,582,"CS5553","07-Jan-15",98
"583",583,583,"CS3775","23-Feb-12",92
"584",584,584,"CS2885","08-Nov-12",55
"585",585,585,"CS1206","11-Aug-14",90
"586",586,586,"CS4480","23-May-12",60
"587",587,587,"CS1488","12-Feb-15",65
"588",588,588,"CS1456","08-Feb-13",95
"589",589,589,"CS4681","03-Feb-14",96
"590",590,590,"CS3170","16-Oct-12",85
"591",591,591,"CS1906","18-May-14",60
"592",592,592,"CS5774","28-Feb-15",78
"593",593,593,"CS6063","29-Sep-11",77
"594",594,594,"CS2223","17-Jan-14",41
"595",595,595,"CS1848","27-Sep-11",48
"596",596,596,"CS2366","08-Apr-14",39
"597",597,597,"CS5335","13-Jan-14",45
"598",598,598,"CS2899","12-Oct-12",55
"599",599,599,"CS4219","06-Dec-13",59
"600",600,600,"CS5690","19-Jan-15",82
"601",601,601,"CS3410","06-Sep-14",97
"602",602,602,"CS1337","24-Jul-14",103
"603",603,603,"CS4954","02-Nov-12",82
"604",604,604,"CS4400","23-Aug-11",67
"605",605,605,"CS3652","07-Feb-15",64
"606",606,606,"CS5677","28-Feb-13",93
"607",607,607,"CS4992","21-Oct-12",83
"608",608,608,"CS3569","17-Aug-14",61
"609",609,609,"CS2442","30-Apr-14",59
"610",610,610,"CS4160","15-May-12",66
